"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id"
"1017.2999999821186","<p> Welcome to the experiment!</p><p>It should take about 30 minutes.</p><p> <i> Press spacebar to continue</i> </p>","32","html-keyboard-response","0","1019","0.0-0.0"
"null","<p id='countdown1'></p>","null","html-keyboard-response","1","11035","0.0-1.0"
"","","","html-keyboard-response","2","21848","0.0-2.0"
"null","<p id='countdown2'></p>","null","html-keyboard-response","3","21850","0.0-3.0"
"null","<p id='countdown4'></p>","null","html-keyboard-response","4","32846","0.0-4.0"
"","","","html-keyboard-response","5","42848","0.0-5.0"
"null","<p id='countdown5'></p>","null","html-keyboard-response","6","43843","0.0-6.0"
"","","","html-keyboard-response","7","53853","0.0-7.0"
"null","<p id='countdown7'></p>","null","html-keyboard-response","8","53854","0.0-8.0"
"null","<p id='countdown9'></p>","null","html-keyboard-response","9","63857","0.0-9.0"
"null","<p style='color:white;'>Data saving...</p><div class=""sk-cube-grid""><div class=""sk-cube sk-cube1""></div><div class=""sk-cube sk-cube2""></div><div class=""sk-cube sk-cube3""></div><div class=""sk-cube sk-cube4""></div><div class=""sk-cube sk-cube5""></div><div class=""sk-cube sk-cube6""></div><div class=""sk-cube sk-cube7""></div><div class=""sk-cube sk-cube8""></div><div class=""sk-cube sk-cube9""></div></div><p style='color:white;'>Do not close this window until the text dissapears.</p>","null","html-keyboard-response","10","69844","0.0-10.0"
